id,course_name,instructor_name,start_time,end_time,days,type,location
LIT206_Spring2021_S01,Women and Gender Studies: Representations of Women in Vietnam War Literature and Film ,Isadora Wagner,9:00:00,12:00:00,"Friday,",Semester,Classrooms 2&3
MATH205_Spring2021_S01,Probability and Statistics ,Tran Vinh Linh,13:15:00,14:45:00,"Wednesday, Friday,",Semester,Online
PSY101_Spring2021_S01,Introductory Psychology ,Jill Siri,13:15:00,16:15:00,"Tuesday,",Semester,Art Studio
PSY101_Spring2021_S02,Introductory Psychology ,An Nguyen,13:15:00,16:15:00,"Tuesday,",Semester,TBD
PSY202_Spring2021_S01,Developmental Psychology ,Jill Siri,13:15:00,16:15:00,"Friday,",Semester,Classroom 5
PSY205_Spring2021_S01,Abnormal Psychology ,Chris Rebholz,9:00:00,12:00:00,"Tuesday,",Semester,Online
SOCI105_Spring2021_S01,Research Methods in Social & Behavioral Science ,Co-design,9:45:00,11:15:00,"Tuesday, Thursday,",Semester,Classrooms 8&9
SOCI202_Spring2021_S01,Digital Anthropology ,Ian Kalman,9:45:00,11:15:00,"Monday, Wednesday,",Semester,Classrooms 8&9
SOCI205_Spring2021_S01,"Language, Culture and Thought ",Ian Kalman,16:45:00,18:15:00,"Monday, Wednesday,",Semester,Classroom 4
VS201_Spring2021_S01,Going Hand in Hand: Politics and Economic Development in Contemporary Vietnam ,Nguyen Thanh Trung,9:00:00,12:00:00,"Tuesday,",Semester,Classroom 4
