No.,Semester/Term,Area 1,Area 2,Area 3,Level,Course Code ,Course Name,Reading/Writing Intensive ,Session #,Course Instructor,Visiting,Online,Blended,Classtime
41,Spring22,Psy,SS,,200,PSY202,Developmental Psychology,,1,Skultip Sirikantraporn (Jill),,,,
42,Spring22,SS,Psy,,100,SOCI105,Research Methods & Statistics,,1,Kinho Chan,,,,
43,Spring22,SS,Econ,,200,SOCI201,Global Political Economy,,1,Jonathan London,1,,,
44,Spring22,SS,VS,,200,SOCI203,"Power, Personhood, and Place in Mainland Southeast Asia  ",,1,Philip Taylor,1,,,
45,_x001F_Spring22,SS,,,200,SOCI204,Youth and Society in Asia,,1,Nankyung Choi,1,,,
46,Spring22,VS,,,100,VS101,Introduction to Vietnam Studies,,1,Nguyễn Nam,,,,
47,Fall21,VS,,,100,VS104,Introduction to Comparative Politics: Bringing in Vietnam,Y,1,Nguyễn Thành Trung,1,,,
48,Spring22,VS,Lit,,100,VS106b,Cultural and Intellectual Foundation of Vietnamese Literary Chinese 2,,1,Phan Thu Vân,1,,,
49,Spring22,VS,Core,,100,VS107,Ethics in Practice: Philosophical Buddhist Ethics,,1,Nguyễn Nam,,,,
50,Spring22,VS,Arts,,100,VS108,"Documentary Films from Vietnam: History, Theory, and Practice",,1,Đào Lê Na,1,1,,
1,Summer22,Core,,,Core,CORE101,Global Humanities​​ A,Y,5,Core Teaching Team ,,,,
2,Summer22,Core,,,Core,CORE102,MVCS A,Y,5,Core Teaching Team ,,,,
3,Summer22,Core,,,Core,CORE105,Design & Systems Thinking​​ B,,4,Core Teaching Team ,,,,
4,Summer22,Arts,SS,,200,ARTS209,Issues in Contemporary Photography ,,1,Lương Ngọc Trâm,,,,
5,Summer22,Arts,,,300,ARTS302,Documentary Filmmaking and Video Journalism,,1,Duy Linh Tu,1,,,
6,Summer22,CS,,,300,CS305,Security & Cryptography,,1,Murphy Rallapalli,1,,,
7,Summer22,CS,,,300,CS306,Machine Learning (2 credits),,1,Murphy Rallapalli,1,,,
8,Summer22,Econ,,,200,ECON209,Econometrics,,1,Phan Tuấn Ngọc,,,,
9,Summer22,EL,,,100,EL101,Experiential Learning,,1,Coordinator: Vincent Pham,,,,
10,Summer22,EL,,,,EL101,Independent Summer Research Seminar,,2,Supervisor: Antoine Le,1,,,
11,Summer22,Eng,,,200,ENG204,"Sensor, Measurement & Analysis",,1,Nguyễn Hợp Minh,,,,
12,Summer22,IS,,,200,IS 207,Sustainable development: Science and Industries ,,1,Nguyễn Thị Trang,,,,
13,Summer22,IS,Eng,Math/CS,300,IS302,Introduction to Bioinformatics,,1,Ly Le,1,,,
14,Summer22,Math,,,200,MATH204,Multivariable calculus,,1,TBA,1,,,
15,Summer22,Math,,,200,MATH205,Probability,,1,TBA,1,,,
16,Summer22,Psy,,,300,PSY302,Counseling Psychology,,1,Nathan Gehlert,1,,,
17,Summer22,SS,Lit,,100,SOCI 106,"Eco-Village, Eco-District, Eco-Life",,1,Paolo Vincenzo Genovese,1,,,
18,Summer22,SS,Lit,Psy,200,SOCI205,"Language, Culture, And Thought",,1,Ian Scott Kalman,,,,
19,Summer22,SS,Econ,VS,200,SOCI207,Development from Below: Indigenous paths to modernity in Vietnam,,1,Philip Taylor,1,,,
